com.samsung.shealth.stress,6086003,7
create_time,time_offset,max,custom,end_time,deviceuuid,start_time,score,pkg_name,update_time,min,binning_data,datauuid,tag_id,comment,algorithm
2020-02-29 05:09:35.376,UTC+0000,3.0,,2020-02-29 04:59:59.999,Jfw01OFXaN,2020-02-29 04:00:00.000,0.0,com.sec.android.app.shealth,2020-02-29 05:09:35.376,0.0,8be90543-a43e-7607-e36f-dff75a38adb4.binning_data.json,8be90543-a43e-7607-e36f-dff75a38adb4,10011,,1
2020-02-29 06:10:07.613,UTC+0000,6.0,,2020-02-29 05:59:59.999,Jfw01OFXaN,2020-02-29 05:00:00.000,0.0,com.sec.android.app.shealth,2020-02-29 06:10:07.613,0.0,e031dd47-21e6-03f8-0ebf-24bd9b7ff28a.binning_data.json,e031dd47-21e6-03f8-0ebf-24bd9b7ff28a,10011,,1
2020-02-29 07:06:19.513,UTC+0000,43.0,,2020-02-29 06:59:59.999,Jfw01OFXaN,2020-02-29 06:00:00.000,7.0,com.sec.android.app.shealth,2020-02-29 07:06:19.513,0.0,5acb32a5-77f2-2546-d2db-8b6286d1099b.binning_data.json,5acb32a5-77f2-2546-d2db-8b6286d1099b,10011,,1
2020-02-29 08:10:08.562,UTC+0000,73.0,,2020-02-29 07:59:59.999,Jfw01OFXaN,2020-02-29 07:00:00.000,19.0,com.sec.android.app.shealth,2020-02-29 08:10:08.562,1.0,de8aca33-267d-1546-0f66-099dd442e451.binning_data.json,de8aca33-267d-1546-0f66-099dd442e451,10011,,1
2020-02-29 09:07:29.870,UTC+0000,91.0,,2020-02-29 08:59:59.999,Jfw01OFXaN,2020-02-29 08:00:00.000,30.0,com.sec.android.app.shealth,2020-02-29 09:07:29.870,0.0,2a385a4f-86ac-192c-f0ca-6ba38ffdc19a.binning_data.json,2a385a4f-86ac-192c-f0ca-6ba38ffdc19a,10011,,1
2020-02-29 09:19:35.830,UTC+0000,50.0,,2020-02-29 09:59:59.999,Jfw01OFXaN,2020-02-29 09:00:00.000,6.0,com.sec.android.app.shealth,2020-02-29 14:15:04.443,0.0,8e8dfde9-71c1-2e0c-c0dc-7e340f188d0f.binning_data.json,8e8dfde9-71c1-2e0c-c0dc-7e340f188d0f,10011,,1
2020-02-29 15:04:51.389,UTC+0000,100.0,,2020-02-29 14:59:59.999,Jfw01OFXaN,2020-02-29 14:00:00.000,62.0,com.sec.android.app.shealth,2020-02-29 15:04:51.389,0.0,e9c5e1cc-9a23-2bfa-e3a1-ba549989e2f0.binning_data.json,e9c5e1cc-9a23-2bfa-e3a1-ba549989e2f0,10011,,1
2020-02-29 16:06:21.650,UTC+0000,100.0,,2020-02-29 15:59:59.999,Jfw01OFXaN,2020-02-29 15:00:00.000,88.0,com.sec.android.app.shealth,2020-02-29 16:06:21.650,0.0,67274b55-2043-8147-0304-7a8ad89092a9.binning_data.json,67274b55-2043-8147-0304-7a8ad89092a9,10011,,1
2020-02-29 17:01:03.506,UTC+0000,96.0,,2020-02-29 16:59:59.999,Jfw01OFXaN,2020-02-29 16:00:00.000,24.0,com.sec.android.app.shealth,2020-02-29 17:01:03.506,0.0,e4a5e72a-e3ec-940e-db6c-5f6f9daa3de0.binning_data.json,e4a5e72a-e3ec-940e-db6c-5f6f9daa3de0,10011,,1
2020-02-29 18:02:20.413,UTC+0000,83.0,,2020-02-29 17:59:59.999,Jfw01OFXaN,2020-02-29 17:00:00.000,20.0,com.sec.android.app.shealth,2020-02-29 18:02:20.413,0.0,d46ebf04-31b8-d6aa-0b66-cf9603c16fdb.binning_data.json,d46ebf04-31b8-d6aa-0b66-cf9603c16fdb,10011,,1
2020-02-29 19:04:28.276,UTC+0000,98.0,,2020-02-29 18:59:59.999,Jfw01OFXaN,2020-02-29 18:00:00.000,29.0,com.sec.android.app.shealth,2020-02-29 19:04:28.276,0.0,8069e16e-1399-f212-a9f8-08c67185a135.binning_data.json,8069e16e-1399-f212-a9f8-08c67185a135,10011,,1
2020-02-29 20:10:46.421,UTC+0000,100.0,,2020-02-29 19:59:59.999,Jfw01OFXaN,2020-02-29 19:00:00.000,55.0,com.sec.android.app.shealth,2020-02-29 20:10:46.421,0.0,457e4584-c2bb-946b-dc3d-0140c1c530f5.binning_data.json,457e4584-c2bb-946b-dc3d-0140c1c530f5,10011,,1
2020-02-29 21:10:48.582,UTC+0000,96.0,,2020-02-29 20:59:59.999,Jfw01OFXaN,2020-02-29 20:00:00.000,70.0,com.sec.android.app.shealth,2020-02-29 21:10:48.582,12.0,0eb94757-e916-ab4e-36f2-29c6c06e4a23.binning_data.json,0eb94757-e916-ab4e-36f2-29c6c06e4a23,10011,,1
2020-03-01 01:01:07.395,UTC+0000,63.0,,2020-03-01 00:59:59.999,Jfw01OFXaN,2020-03-01 00:00:00.000,4.0,com.sec.android.app.shealth,2020-03-01 01:01:07.395,0.0,12f4d147-18ee-9264-8afe-6c9b3b9ef8f1.binning_data.json,12f4d147-18ee-9264-8afe-6c9b3b9ef8f1,10011,,1
2020-03-01 08:21:24.305,UTC+0000,1.0,,2020-03-01 01:59:59.999,Jfw01OFXaN,2020-03-01 01:00:00.000,1.0,com.sec.android.app.shealth,2020-03-01 08:21:24.305,1.0,5d487164-e116-bdf7-1ead-2395fff516de.binning_data.json,5d487164-e116-bdf7-1ead-2395fff516de,10011,,1
2020-03-01 09:01:25.473,UTC+0000,69.0,,2020-03-01 08:59:59.999,Jfw01OFXaN,2020-03-01 08:00:00.000,17.0,com.sec.android.app.shealth,2020-03-01 09:01:25.473,1.0,5c6da842-0a50-d962-1ca0-916f7928ab7e.binning_data.json,5c6da842-0a50-d962-1ca0-916f7928ab7e,10011,,1
2020-03-01 10:36:07.488,UTC+0000,75.0,,2020-03-01 09:59:59.999,Jfw01OFXaN,2020-03-01 09:00:00.000,19.0,com.sec.android.app.shealth,2020-03-01 10:36:07.488,0.0,f5f80cdf-d3fd-f21f-8f52-79dec9428b08.binning_data.json,f5f80cdf-d3fd-f21f-8f52-79dec9428b08,10011,,1
2020-03-01 11:10:23.387,UTC+0000,99.0,,2020-03-01 10:59:59.999,Jfw01OFXaN,2020-03-01 10:00:00.000,33.0,com.sec.android.app.shealth,2020-03-01 11:10:23.387,0.0,3944f0d9-5d10-6ff3-1cdc-118609675fc5.binning_data.json,3944f0d9-5d10-6ff3-1cdc-118609675fc5,10011,,1
2020-03-01 12:05:17.639,UTC+0000,99.0,,2020-03-01 11:59:59.999,Jfw01OFXaN,2020-03-01 11:00:00.000,40.0,com.sec.android.app.shealth,2020-03-01 12:05:17.639,0.0,457039fa-9c4f-c828-45b0-d92b7a96c74e.binning_data.json,457039fa-9c4f-c828-45b0-d92b7a96c74e,10011,,1
2020-03-01 12:45:36.790,UTC+0000,97.0,,2020-03-01 12:59:59.999,Jfw01OFXaN,2020-03-01 12:00:00.000,12.0,com.sec.android.app.shealth,2020-03-01 13:01:10.326,0.0,d3b82d4d-bb90-995e-d138-008020a21ae3.binning_data.json,d3b82d4d-bb90-995e-d138-008020a21ae3,10011,,1
2020-03-01 14:07:25.500,UTC+0000,94.0,,2020-03-01 13:59:59.999,Jfw01OFXaN,2020-03-01 13:00:00.000,11.0,com.sec.android.app.shealth,2020-03-01 14:07:25.500,0.0,b070073a-3877-1285-563d-7197b688b82b.binning_data.json,b070073a-3877-1285-563d-7197b688b82b,10011,,1
2020-03-01 15:09:27.475,UTC+0000,100.0,,2020-03-01 14:59:59.999,Jfw01OFXaN,2020-03-01 14:00:00.000,35.0,com.sec.android.app.shealth,2020-03-01 15:09:27.475,0.0,fee0d0ee-457c-3c42-266e-8beea0ffdf9c.binning_data.json,fee0d0ee-457c-3c42-266e-8beea0ffdf9c,10011,,1
2020-03-01 16:06:12.462,UTC+0000,100.0,,2020-03-01 15:59:59.999,Jfw01OFXaN,2020-03-01 15:00:00.000,38.0,com.sec.android.app.shealth,2020-03-01 16:06:12.462,0.0,c0543165-7c12-0f66-a49c-5b137bcbc79d.binning_data.json,c0543165-7c12-0f66-a49c-5b137bcbc79d,10011,,1
2020-03-01 17:01:40.701,UTC+0000,100.0,,2020-03-01 16:59:59.999,Jfw01OFXaN,2020-03-01 16:00:00.000,49.0,com.sec.android.app.shealth,2020-03-01 17:01:40.701,0.0,d5ee9ed5-ef82-65ce-13cb-e66c31b3b6a2.binning_data.json,d5ee9ed5-ef82-65ce-13cb-e66c31b3b6a2,10011,,1
